hut_name,fetch_datetime,booking_date,num_available,rooms
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-10,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-11,8,{'Dormitory': 8}
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-12,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-13,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-14,4,{'Dormitories outside the Refuge': 4}
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-15,20,"{'Dormitory': 8, 'Room with 2 beds': 4, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-16,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-17,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-18,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-19,20,"{'Dormitory': 8, 'Room with 2 beds': 4, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-20,14,"{'Dormitory': 6, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-21,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-22,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-23,18,"{'Dormitory': 8, 'Room with 2 beds': 2, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-24,20,"{'Dormitory': 8, 'Room with 2 beds': 4, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-25,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-26,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-27,22,"{'Dormitory': 8, 'Room with 2 beds': 6, 'Room with 4 beds': 8}"
Rifugio Al Coldai (Sonino),2024-08-31 09:33:14.558432,2024-09-28,16,"{'Dormitory': 8, 'Room with 4 beds': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-10,1,{'Dormitory': 1}
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-11,0,{}
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-12,10,"{'Single room': 1, '5 beds room': 1, 'Dormitory': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-13,9,"{'5 beds room': 1, 'Dormitory': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-14,10,"{'4 beds room': 2, 'Dormitory': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-15,4,"{'4 beds room': 2, 'Dormitory': 2}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-16,3,"{'5 beds room': 1, 'Dormitory': 2}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-17,0,{}
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-18,10,"{'4 beds room': 2, 'Dormitory': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-19,13,"{'Single room': 1, 'Triple room': 1, '4 beds room': 2, '5 beds room': 1, 'Dormitory': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-20,13,"{'Twin room': 2, '4 beds room': 2, '5 beds room': 1, 'Dormitory': 8}"
Rifugio Passo Staulanza,2024-08-31 09:33:14.558432,2024-09-21,15,"{'Twin room': 2, 'Triple room': 1, '4 beds room': 3, '5 beds room': 1, 'Dormitory': 8}"
